iters:17300, batch:0, loss:0.000620972 
iters:17350, batch:0, loss:0.000620499 
iters:17400, batch:0, loss:0.000620028 
iters:17450, batch:0, loss:0.000619557 
iters:17500, batch:0, loss:0.000619088 
iters:17550, batch:0, loss:0.000618619 
iters:17600, batch:0, loss:0.000618151 
iters:17650, batch:0, loss:0.000617684 
iters:17700, batch:0, loss:0.000617218 
iters:17750, batch:0, loss:0.000616753 
iters:17800, batch:0, loss:0.000616288 
iters:17850, batch:0, loss:0.000615824 
iters:17900, batch:0, loss:0.000615361 
iters:17950, batch:0, loss:0.000614898 
iters:18000, batch:0, loss:0.000614437 
iters:18050, batch:0, loss:0.000613976 
iters:18100, batch:0, loss:0.000613516 
iters:18150, batch:0, loss:0.000613057 
iters:18200, batch:0, loss:0.000612599 
iters:18250, batch:0, loss:0.000612141 
iters:18300, batch:0, loss:0.000611684 
iters:18350, batch:0, loss:0.000611227 
iters:18400, batch:0, loss:0.000610772 
iters:18450, batch:0, loss:0.000610317 
iters:18500, batch:0, loss:0.000609863 
iters:18550, batch:0, loss:0.00060941 
iters:18600, batch:0, loss:0.000608957 
iters:18650, batch:0, loss:0.000608505 
iters:18700, batch:0, loss:0.000608054 
iters:18750, batch:0, loss:0.000607604 
iters:18800, batch:0, loss:0.000607154 
iters:18850, batch:0, loss:0.000606705 
iters:18900, batch:0, loss:0.000606256 
iters:18950, batch:0, loss:0.000605809 
iters:19000, batch:0, loss:0.000605362 
iters:19050, batch:0, loss:0.000604915 
iters:19100, batch:0, loss:0.000604469 
iters:19150, batch:0, loss:0.000604024 
iters:19200, batch:0, loss:0.000603579 
iters:19250, batch:0, loss:0.000603134 
iters:19300, batch:0, loss:0.00060269 
iters:19350, batch:0, loss:0.000602247 
iters:19400, batch:0, loss:0.000601804 
iters:19450, batch:0, loss:0.000601361 
iters:19500, batch:0, loss:0.000600919 
iters:19550, batch:0, loss:0.000600478 
iters:19600, batch:0, loss:0.000600038 
iters:19650, batch:0, loss:0.000599598 
iters:19700, batch:0, loss:0.00059916 
iters:19750, batch:0, loss:0.000598722 
iters:19800, batch:0, loss:0.000598284 
iters:19850, batch:0, loss:0.000597849 
iters:19900, batch:0, loss:0.000597413 
iters:19950, batch:0, loss:0.000596977 
iters:20000, batch:0, loss:0.000596543 
iters:20050, batch:0, loss:0.00059611 
iters:20100, batch:0, loss:0.000595677 
iters:20150, batch:0, loss:0.000595245 
iters:20200, batch:0, loss:0.000594813 
iters:20250, batch:0, loss:0.000594381 
iters:20300, batch:0, loss:0.000593951 
iters:20350, batch:0, loss:0.000593521 
iters:20400, batch:0, loss:0.000593091 
iters:20450, batch:0, loss:0.000592663 
iters:20500, batch:0, loss:0.000592235 
iters:20550, batch:0, loss:0.000591808 
iters:20600, batch:0, loss:0.000591383 
iters:20650, batch:0, loss:0.000590957 
iters:20700, batch:0, loss:0.000590532 
iters:20750, batch:0, loss:0.000590108 
iters:20800, batch:0, loss:0.000589684 
iters:20850, batch:0, loss:0.000589262 
iters:20900, batch:0, loss:0.00058884 
iters:20950, batch:0, loss:0.000588417 
iters:21000, batch:0, loss:0.000587997 
iters:21050, batch:0, loss:0.000587577 
iters:21100, batch:0, loss:0.000587156 
iters:21150, batch:0, loss:0.000586737 
iters:21200, batch:0, loss:0.000586317 
iters:21250, batch:0, loss:0.000585898 
iters:21300, batch:0, loss:0.000585479 
iters:21350, batch:0, loss:0.000585063 
iters:21400, batch:0, loss:0.000584645 
iters:21450, batch:0, loss:0.000584229 
iters:21500, batch:0, loss:0.000583812 
iters:21550, batch:0, loss:0.000583397 
iters:21600, batch:0, loss:0.000582983 
iters:21650, batch:0, loss:0.000582569 
iters:21700, batch:0, loss:0.000582157 
iters:21750, batch:0, loss:0.000581744 
iters:21800, batch:0, loss:0.000581333 
iters:21850, batch:0, loss:0.000580922 
iters:21900, batch:0, loss:0.000580513 
iters:21950, batch:0, loss:0.000580103 
iters:22000, batch:0, loss:0.000579694 
iters:22050, batch:0, loss:0.000579286 
iters:22100, batch:0, loss:0.000578879 
iters:22150, batch:0, loss:0.000578471 
iters:22200, batch:0, loss:0.000578065 
iters:22250, batch:0, loss:0.000577659 
iters:22300, batch:0, loss:0.000577253 
iters:22350, batch:0, loss:0.000576849 
iters:22400, batch:0, loss:0.000576445 
iters:22450, batch:0, loss:0.000576041 
iters:22500, batch:0, loss:0.000575639 
iters:22550, batch:0, loss:0.000575237 
iters:22600, batch:0, loss:0.000574835 
iters:22650, batch:0, loss:0.000574435 
iters:22700, batch:0, loss:0.000574035 
iters:22750, batch:0, loss:0.000573637 
iters:22800, batch:0, loss:0.000573238 
iters:22850, batch:0, loss:0.00057284 
iters:22900, batch:0, loss:0.000572444 
iters:22950, batch:0, loss:0.000572047 
iters:23000, batch:0, loss:0.000571651 
iters:23050, batch:0, loss:0.000571255 
iters:23100, batch:0, loss:0.000570861 
iters:23150, batch:0, loss:0.000570466 
iters:23200, batch:0, loss:0.000570072 
iters:23250, batch:0, loss:0.000569678 
iters:23300, batch:0, loss:0.000569286 
iters:23350, batch:0, loss:0.000568893 
iters:23400, batch:0, loss:0.000568502 
iters:23450, batch:0, loss:0.000568111 
iters:23500, batch:0, loss:0.00056772 
iters:23550, batch:0, loss:0.000567331 
iters:23600, batch:0, loss:0.000566941 
iters:23650, batch:0, loss:0.000566552 
